hop:1	rtt:6 ms	ip:192.168.0.1
hop:3	rtt:35 ms	ip:172.25.44.1
hop:4	rtt:11 ms	ip:212.156.38.21
hop:5	rtt:13 ms	ip:81.212.216.50
hop:6	rtt:11 ms	ip:81.212.216.129
hop:7	rtt:45 ms	ip:212.156.139.74
hop:8	rtt:44 ms	ip:83.231.187.21
hop:9	rtt:42 ms	ip:129.250.7.20
hop:10	rtt:64 ms	ip:129.250.7.29
hop:11	rtt:156 ms	ip:129.250.6.162
hop:12	rtt:167 ms	ip:129.250.2.87
hop:13	rtt:172 ms	ip:129.250.3.150
hop:14	rtt:161 ms	ip:129.250.194.138
hop:15	rtt:298 ms	ip:179.31.62.57
hop:16	rtt:293 ms	ip:179.31.62.120
hop:17	rtt:320 ms	ip:179.31.59.232
hop:18	rtt:315 ms	ip:200.40.177.58
hop:19	rtt:306 ms	ip:200.40.177.59
hop:20	rtt:304 ms	ip:179.27.56.10
hop:21	rtt:316 ms	ip:179.27.56.11
hop:22	rtt:301 ms	ip:190.0.129.130
hop:23	rtt:304 ms	ip:190.64.204.144
