hop:1	rtt:16 ms	ip:192.168.0.1
hop:3	rtt:10 ms	ip:172.25.44.1
hop:4	rtt:14 ms	ip:212.156.38.21
hop:5	rtt:36 ms	ip:81.212.216.12
hop:6	rtt:22 ms	ip:81.212.208.91
hop:7	rtt:20 ms	ip:81.212.217.121
hop:8	rtt:65 ms	ip:212.156.101.126
hop:9	rtt:75 ms	ip:80.81.193.136
hop:10	rtt:323 ms	ip:58.138.89.225
hop:11	rtt:317 ms	ip:58.138.102.98
hop:12	rtt:323 ms	ip:202.232.9.10
hop:13	rtt:313 ms	ip:202.72.48.206
hop:14	rtt:311 ms	ip:202.72.48.164
hop:15	rtt:312 ms	ip:202.72.48.165
hop:16	rtt:332 ms	ip:133.237.16.234
